, elasticity ,inertia,length ,load_P,V_dis,cubed_L,inv_E,inv_I
5065,212,8650,17,16,2143308.976,4913,0.004716981132,0.0001156069364
5066,208,3010000,1,16,1.277791975,1,0.004807692308,0.0000003322259136
5067,210,985000,5,30,906.4539521,125,0.004761904762,0.000001015228426
5068,195,458000,5,2,139.9619304,125,0.005128205128,0.000002183406114
5069,198,41500000,15,25,513.4173056,3375,0.005050505051,0.00000002409638554
5070,203,985000,7,4,343.0771924,343,0.004926108374,0.000001015228426
5071,203,32200,15,15,387242.6032,3375,0.004926108374,0.00003105590062
5072,198,3010000,7,6,172.6568006,343,0.005050505051,0.0000003322259136
5073,210,41500000,3,25,3.872633391,27,0.004761904762,0.00000002409638554
5074,205,1830000,20,6,6397.441024,8000,0.00487804878,0.0000005464480874
